identifier,transaction_count,avg_price_eth,max_price_eth,min_price_eth,total_volume_eth,unique_buyers,unique_sellers
8695,21,6.14592380952381,16.98,0.25,129.0644,1,1
8675,6,4.21845,6.88,0.052,25.3107,1,1
8688,39,6.409410717948718,19.01,0.1111,249.967018,1,1
8771,2,1.639,3.15,0.128,3.278,1,1
8700,8,9.950399375,13.0,0.9789,79.603195,1,1
8755,14,4.366280714285714,10.0,0.92,61.12793,1,1
8679,3,5.896666666666667,13.24,0.25,17.69,1,1
8746,9,4.48098888888889,27.5,0.08,40.328900000000004,1,1
8735,4,2.91,3.5,2.45,11.64,1,1
8749,14,7.458564285714286,24.79,0.05,104.4199,1,1
8708,9,11.197433333333333,29.987,2.5,100.7769,1,1
8680,23,7.953517391304348,33.05,4.08,182.9309,1,1
8682,19,7.64859947368421,19.05,0.25,145.32339,1,1
8677,17,2.926464705882353,5.088,0.4444,49.749900000000004,1,1
8701,1,1.9,1.9,1.9,1.9,1,1
8725,31,7.299290322580645,40.0,0.25,226.278,1,1
8762,16,9.098143125,33.489,0.0545,145.57029,1,1
8758,7,4.150128571428572,9.88,0.055,29.050900000000002,1,1
8770,13,3.897384615384616,6.2,0.03,50.666000000000004,1,1
8736,7,1.5505714285714285,7.2362,0.0888,10.854,1,1
8712,2,10.4065,16.313,4.5,20.813,1,1
8767,8,3.0701,4.5597,0.29,24.5608,1,1
8687,35,4.104532285714285,6.0,0.25,143.65863,1,1
8729,5,1.3874,2.3,0.32,6.936999999999999,1,1
8764,3,8.032333333333334,13.469,0.048,24.097,1,1
8707,2,0.845,0.88,0.81,1.69,1,1
8742,8,3.973025,13.399,0.0888,31.7842,1,1
8684,2,0.6261,1.03,0.2222,1.2522,1,1
8691,5,4.2219999999999995,5.995,2.916,21.11,1,1
8704,3,2.7399999999999998,3.5,2.13,8.219999999999999,1,1
8744,10,16.17193,28.6495,0.0469,161.7193,1,1
8686,3,12.653433333333334,14.0603,11.15,37.960300000000004,1,1
8733,5,7.88,22.2,0.6,39.4,1,1
8760,10,2.011309,4.17399,0.053,20.11309,1,1
8574,10,5.2369799,11.65,0.9,52.369799,1,1
8634,5,0.5948,1.5,0.089,2.974,1,1
8567,2,1.73,3.4,0.06,3.46,1,1
8632,33,5.034342121212121,11.79899,0.15,166.13329,1,1
8618,5,3.85242,7.49,0.89,19.2621,1,1
8666,15,9.206220066666667,15.13,0.024401,138.093301,1,1
8638,15,6.685973333333333,18.0,0.049,100.2896,1,1
8639,15,4.199852666666667,6.21,0.0499,62.99779,1,1
8561,4,13.23375,19.49,3.98,52.935,1,1
8654,2,1.27775,2.5,0.0555,2.5555,1,1
8659,15,2.027816066666667,5.3,0.021941,30.417241,1,1
8657,5,0.7074,1.79,0.015,3.537,1,1
8590,11,0.887490909090909,2.65,0.0199,9.7624,1,1
8564,5,2.984,5.65,1.66,14.92,1,1
8626,4,5.09,16.58,0.38,20.36,1,1
8592,9,6.799166666666666,11.556,0.0275,61.192499999999995,1,1
8586,17,9.190176470588236,18.5,0.14,156.233,1,1
8643,3,0.9549666666666666,2.79,0.025,2.8649,1,1
8584,18,2.3938055555555557,4.5,0.015,43.0885,1,1
8611,8,5.4928799999999995,11.298,0.42,43.943039999999996,1,1
8649,29,4.426140689655172,5.89,0.0499,128.35808,1,1
8599,5,2.8449999999999998,7.0,0.1,14.225,1,1
8602,6,2.1058333333333334,4.5,0.07,12.635,1,1
8636,10,7.35197,11.88,0.055,73.5197,1,1
8625,7,2.9513515714285714,11.11,0.02,20.659461,1,1
8583,9,1.3894444444444445,4.9,0.06,12.505,1,1
8579,8,1.5835,2.978,0.1,12.668,1,1
8600,14,1.9357142857142857,4.1,0.09,27.1,1,1
8612,18,4.1989777777777775,5.52,1.29,75.5816,1,1
8591,7,1.0570142857142857,3.0,0.0275,7.3991,1,1
8628,17,6.205917647058824,10.79,0.28,105.5006,1,1
8627,5,1.24586,2.479,0.25,6.2293,1,1
8620,5,6.766,10.9,0.99,33.83,1,1
8610,21,2.670952380952381,4.52,0.75,56.089999999999996,1,1
8594,4,1.20375,2.35,0.09,4.815,1,1
8562,2,14.2471,26.8,1.6942,28.4942,1,1
8633,24,10.220457375,22.699,2.21,245.290977,1,1
8597,5,0.5157,1.069,0.06,2.5785,1,1
8663,6,10.689644833333332,18.0,0.217869,64.137869,1,1
8660,1,0.99,0.99,0.99,0.99,1,1
8577,15,3.919313333333333,6.0,2.59,58.789699999999996,1,1
8614,7,4.057357142857143,6.3,0.69,28.4015,1,1
8615,14,13.049307142857142,40.0,1.0,182.69029999999998,1,1
8572,1,3.0,3.0,3.0,3.0,1,1
8637,31,4.286328999999999,6.1053,0.019,132.87619899999999,1,1
8601,10,1.9260000000000002,3.69,0.125,19.26,1,1
8604,17,8.28928794117647,18.99,1.4,140.917895,1,1
8646,16,628.4089062500001,10000.0,0.0499,10054.542500000001,1,1
8653,5,9.493979999999999,36.22,0.0499,47.469899999999996,1,1
8596,3,1.3383333333333336,3.68,0.06,4.015000000000001,1,1
8644,6,4.900049999999999,6.1,0.0499,29.400299999999998,1,1
8565,14,7.309992357142858,27.5,0.06,102.339893,1,1
8595,87,5.677214632183908,16.0,0.09,493.917673,1,1
8581,6,13.080966666666667,18.8,8.1508,78.4858,1,1
8668,4,7.6436,18.5,0.0244,30.5744,1,1
8665,4,1.8299647499999998,3.5,0.029859,7.319858999999999,1,1
8650,6,1.5366499999999998,3.5,0.0499,9.219899999999999,1,1
8651,3,0.48996666666666666,1.17,0.0499,1.4699,1,1
8613,4,1.6255,2.98,0.473,6.502,1,1
8656,5,0.7501,2.2,0.045,3.7505,1,1
8589,8,0.8889375,1.67,0.0275,7.1115,1,1
8629,13,3.228480769230769,4.46,0.2,41.97025,1,1
8631,46,6.725669543478261,32.4,0.29,309.380799,1,1
8645,23,8.565034782608695,16.3,0.0499,196.9958,1,1
8603,8,4.8874875,6.0,0.9,39.0999,1,1
8578,4,9.129999999999999,11.29,3.6,36.519999999999996,1,1
8635,27,8.685514814814814,24.7,0.047,234.50889999999998,1,1
8630,12,3.81125,4.91,0.175,45.735,1,1
8640,6,5.728149999999999,10.799,0.0499,34.3689,1,1
8623,9,3.744333333333333,9.45,0.15,33.699,1,1
8588,5,1.737,5.0,0.2,8.685,1,1
8669,2,7.815,15.5,0.13,15.63,1,1
8566,1,3.6,3.6,3.6,3.6,1,1
