token_id,name,description,owner,image_url,animation_url,contract_address,chain,token_standard,traits,trait_count,rarity_score,last_sale_price,last_sale_date,current_listing_price,listing_currency,is_listed,rarity_rank
9999,CryptoPunk #9999,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/755fa80d3dbf9938b31b4826271a6e/cb755fa80d3dbf9938b31b4826271a6e.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9962,CryptoPunk #9962,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/38f6d5b44ccf4b18aee4810e9e8fab/6f38f6d5b44ccf4b18aee4810e9e8fab.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9992,CryptoPunk #9992,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/a2e62eaabab352062919315843ed85/eca2e62eaabab352062919315843ed85.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9924,CryptoPunk #9924,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/04859593c107823a57bbce0193ec06/d004859593c107823a57bbce0193ec06.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9910,CryptoPunk #9910,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/19444d486ddd3a07aa3c61a74b7fda/8e19444d486ddd3a07aa3c61a74b7fda.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9916,CryptoPunk #9916,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/4b9704bbc4390392f844b5de7489d6/924b9704bbc4390392f844b5de7489d6.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9934,CryptoPunk #9934,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/0879fb22577e029240dcdf45d2aa96/780879fb22577e029240dcdf45d2aa96.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9950,CryptoPunk #9950,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/be8305036f9a52ad18ac1e19b2af74/12be8305036f9a52ad18ac1e19b2af74.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9944,CryptoPunk #9944,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/871a005d04ba3db3c29579f4ddd1f5/e4871a005d04ba3db3c29579f4ddd1f5.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9905,CryptoPunk #9905,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/501a716595abf1a767bb4c22c370dc/d6501a716595abf1a767bb4c22c370dc.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
